Urban_Industrial,Rural_Industrial,Rural_Traditional,Isolated_Traditional
1,1,1,1
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
9,9,9,9
10,10,10,10
11,11,11,11
12,12,12,12
13,13,13,13
14,14,14,14
15,15,15,15
18,18,18,18
19,19,19,19
20,20,20,20
26,26,26,26
27,27,27,27
28,28,28,28
30,30,30,30
31,31,31,31
33,33,33,33
34,34,34,34
35,35,35,35
36,36,36,36
37,37,37,37
38,38,38,38
39,39,39,39
40,40,40,40
41,41,41,41
43,43,43,43
44,44,44,44
45,45,45,45
46,46,46,46
47,47,47,47
48,48,48,48
49,49,49,49
50,50,50,50
52,52,52,52
54,54,54,54
69,69,69,69
84,84,84,84
86,86,86,86
89,89,89,89
92,92,92,92
99,99,99,99
103,103,103,103
110,110,110,110
111,111,111,111
115,115,115,115
117,117,117,117
120,120,120,120
132,132,132,132
150,150,150,150
162,162,162,162
177,177,177,177
186,186,186,186
211,211,211,211
213,213,213,213
223,223,223,223
235,235,235,235
241,241,241,241
244,244,244,244
249,249,249,249
251,251,251,251
255,255,255,255
256,256,256,256
259,259,259,259
262,262,262,262
264,264,264,264
265,265,265,265
268,268,268,268
285,285,285,285
291,291,291,291
292,292,292,292
300,300,300,300
301,301,301,301
308,308,308,308
309,309,309,309
311,311,311,311
319,319,319,319
320,320,320,320
325,325,325,325
326,326,326,326
330,330,330,330
333,333,333,333
334,334,334,334
335,335,335,335
336,336,336,336
337,337,337,337
340,340,340,340
341,341,341,341
347,347,347,347
350,350,350,350
352,352,352,352
357,357,357,357
363,363,363,363
364,364,364,364
365,365,365,365
371,371,371,371
372,372,372,372
374,374,374,374
376,376,376,376
382,382,382,382
385,385,385,385
386,386,386,386
395,395,395,395
397,397,397,397
404,404,404,404
406,406,406,406
408,408,408,408
414,414,414,414
418,418,418,418
420,420,420,420
421,421,421,421
424,424,424,424
427,427,427,427
428,428,428,428
430,430,430,430
431,431,431,431
432,432,432,432
436,436,436,436
444,444,444,444
447,447,447,447
448,448,448,448
450,450,450,450
452,452,452,452
459,459,459,459
460,460,460,460
461,461,461,461
462,462,462,462
464,464,464,464
467,467,467,467
469,469,469,469
473,473,473,473
482,482,482,482
495,495,495,495
498,498,498,498
500,500,500,500
506,506,506,506
507,507,507,507
509,509,509,509
517,517,517,517
518,518,518,518
519,519,519,519
521,521,521,521
522,522,522,522
526,526,526,526
529,529,529,529
533,533,533,533
556,556,556,556
558,558,558,558
565,565,565,565
568,568,568,568
574,574,574,574
575,575,575,575
578,578,578,578
593,593,593,593
596,596,596,596
598,598,598,598
601,601,601,601
608,608,608,608
611,611,611,611
613,613,613,613
614,614,614,614
616,616,616,616
618,618,618,618
619,619,619,619
620,620,620,620
621,621,621,621
622,622,622,622
623,623,623,623
624,624,624,624
625,625,625,625
628,628,628,628
629,629,629,629
631,631,631,631
640,640,640,640
642,642,642,642
644,644,644,644
646,646,646,646
651,651,651,651
653,653,653,653
656,656,656,656
657,657,657,657
658,658,658,658
659,659,659,659
666,666,666,666
669,669,669,669
671,671,671,671
674,674,674,674
675,675,675,675
679,679,679,679
682,682,682,682
683,683,683,683
684,684,684,684
685,685,685,685
687,687,687,687
688,688,688,688
696,696,696,696
698,698,698,698
699,699,699,699
700,700,700,700
702,702,702,702
705,705,705,705
706,706,706,706
714,714,714,714
715,715,715,715
721,721,721,721
725,725,725,725
729,729,729,729
730,730,730,730
733,733,733,733
734,734,734,734
737,737,737,737
739,739,739,739
743,743,743,743
744,744,744,744
745,745,745,745
746,746,746,746
748,748,748,748
756,756,756,756
757,757,757,757
760,760,760,760
761,761,761,761
764,764,764,764
765,765,765,765
766,766,766,766
769,769,769,769
780,780,780,780
781,781,781,781
786,786,786,786
788,788,788,788
790,790,790,790
791,791,791,791
793,793,793,793
794,794,794,794
795,795,795,795
796,796,796,796
799,799,799,799
800,800,800,800
802,802,802,802
803,803,803,803
807,807,807,807
810,810,810,810
814,814,814,814
816,816,816,816
820,820,820,820
823,823,823,823
826,826,826,826
827,827,827,827
828,828,828,828
829,829,829,829
832,832,832,832
833,833,833,833
834,834,834,834
835,835,835,835
836,836,836,836
837,837,837,837
838,838,838,838
840,840,840,840
845,845,845,845
848,848,848,848
849,849,849,849
852,852,852,852
853,853,853,853
854,854,854,854
856,856,856,856
857,857,857,857
861,861,861,861
864,864,864,864
865,865,865,865
866,866,866,866
871,871,871,871
872,872,872,872
874,874,874,874
880,880,880,880
883,883,883,883
888,888,888,888
889,889,889,889
891,891,891,891
892,892,892,892
893,893,893,893
896,896,896,896
897,897,897,897
898,898,898,898
900,900,900,900
903,903,903,903
904,904,904,904
907,907,907,907
909,909,909,909
913,913,913,913
916,916,916,916
917,917,917,917
921,921,921,921
923,923,923,923
924,924,924,924
