Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
16444,16444,16444,16444,16444,1
4932,4932,4932,4932,4932,3
9853,9853,9853,9853,9853,4
27223,27223,27223,27223,27223,5
24127,24127,24127,24127,24127,6
25384,25384,25384,25384,25384,7
25423,7465,7465,25423,7465,9
7465,37373,37373,7465,37373,10
37373,4746,4746,4746,4746,11
4746,18147,6282,18147,18147,12
18147,6282,10275,6282,6282,13
6282,10275,19806,10275,10275,14
10275,19806,35197,19806,19806,15
19806,35197,43669,35197,35197,18
35197,43669,5901,43669,43669,19
43669,5901,13282,5901,5901,20
5901,13282,29926,13282,13282,26
13282,29926,24090,29926,29926,27
29926,24090,37965,24090,24090,28
24090,37965,12670,37965,37965,30
37965,12670,20728,12670,12670,31
12670,20728,29998,25308,20728,33
20728,29998,12043,20728,29998,34
29998,12043,34583,29998,13983,35
12043,34583,11256,12043,12043,36
34583,11256,20625,34583,34583,37
11256,20625,17812,11256,11256,38
20625,17812,16322,20625,20625,39
17812,16322,1764,17812,43877,40
16322,1764,18216,16322,17812,41
1764,18216,14163,1764,16322,43
40443,14163,4241,18216,1764,44
30240,4241,23171,4241,18216,45
18216,23171,12635,23171,44518,46
14163,12635,11991,12635,14163,47
4241,11991,9503,11991,4241,48
23171,9503,34205,9503,23171,49
12635,34205,33188,34205,12635,50
11991,10952,23679,23679,11991,52
9503,33188,14840,33188,9503,54
34205,23679,11226,31724,34205,69
31724,14840,15407,14840,33188,84
33188,11226,1102,15407,23679,86
23679,15407,41717,1102,14840,89
14840,1102,22338,22338,15407,92
15407,22338,14868,14868,1102,99
1102,14868,33571,33571,41717,103
22338,33571,7425,7425,22338,110
14868,4171,4171,4171,14868,111
38700,38339,38339,15398,33571,115
33571,15398,15398,15185,7425,117
4171,15185,15185,11580,4171,120
38339,11580,11580,28169,38339,132
15398,28169,28169,30885,15398,150
15185,30885,30885,23196,15185,162
11580,37601,37601,10907,11580,177
28169,23196,23196,14927,28169,186
30885,10907,10907,6621,30885,211
37601,23526,14927,25079,23196,213
23196,6621,6621,23526,10907,223
10907,25079,25079,28428,14927,235
39741,28428,23526,21372,6621,241
23526,21372,28428,17133,25079,244
6621,14927,21372,10344,23526,249
25079,17133,17133,9557,28428,251
28428,10344,10344,29883,21372,255
21372,9557,9557,12695,17133,256
14927,29883,29883,14231,10344,259
17133,12695,12695,12845,9557,262
10344,14231,14231,24149,29883,264
9557,12845,12845,21057,12695,265
29883,24149,24149,17742,14231,268
12695,21057,21057,21324,12845,285
14231,17742,17742,18282,24149,291
12845,21324,21324,25726,21057,292
24149,18282,18282,41746,17742,300
21057,25726,25726,12634,21324,301
17742,41746,41746,5064,18282,308
21324,12634,12634,31879,25726,309
18282,5064,5064,7326,41746,311
25726,31879,31879,6938,12634,319
41746,7326,7326,19762,5064,320
12634,6938,6938,16469,31879,325
5064,19762,19762,9761,7326,326
31879,16469,16469,29282,44520,330
7326,9761,9761,30744,6938,333
6938,29282,29282,39899,19762,334
19762,30744,30744,5470,16469,335
16469,39899,39899,4697,9761,336
9761,4697,5470,18723,29282,337
29282,18723,4697,9159,30744,340
5909,9159,18723,37439,39899,341
30744,37439,9159,25332,5470,347
39899,25332,37439,20621,4697,350
5470,37379,25332,20696,18723,352
4697,20621,37379,22139,9159,357
18723,20696,20621,11788,37439,363
9159,22139,20696,23894,25332,364
37439,11788,22139,22424,37379,365
25332,23894,11788,23424,20621,371
37379,22424,23894,28436,20696,372
20621,23424,22424,36152,22139,374
20696,28436,23424,41248,11788,376
22139,36152,28436,17644,23894,382
11788,41248,36152,9995,41362,385
23894,24825,41248,6240,22424,386
22424,17644,24825,15101,23424,395
23424,9995,17644,17301,28436,397
28436,6240,9995,29994,36152,404
36152,15101,6240,19840,41248,406
41248,17301,15101,27597,24825,408
24825,29994,17301,38275,17644,414
17644,19840,29994,21815,9995,418
9995,27597,19840,41407,6240,420
6240,38275,27597,37069,15101,421
15101,21815,38275,30979,17301,424
17301,41407,21815,34145,29994,427
29994,37069,41407,5104,19840,428
19840,30979,37069,25462,27597,430
27597,5104,30979,24343,38275,431
38275,34145,34145,14590,21815,432
21815,25462,5104,21286,41407,436
41407,24343,25462,25520,37069,444
37069,14590,24343,10339,30979,447
30979,21286,14590,4933,34145,448
5104,25520,21286,12705,5104,450
34145,10339,25520,19921,25462,452
25462,4933,10339,24316,24343,459
24343,19921,4933,27031,14590,460
14590,12705,12705,10307,21286,461
21286,24316,19921,25500,25520,462
25520,27031,24316,34700,10339,464
31295,25500,27031,37917,4933,467
10339,10307,10307,17143,12705,469
4933,34700,25500,35862,19921,473
19921,37917,34700,23413,24316,482
12705,17143,37917,20608,27031,495
24316,35862,17143,6095,10307,498
27031,23413,35862,44248,25500,500
25500,20608,23413,12362,34700,506
10307,6095,20608,30232,37917,507
34700,44248,6095,16231,17143,509
37917,12362,44248,32027,35862,517
38718,16231,12362,25849,23413,518
17143,30232,30232,6353,20608,519
35862,32027,16231,6880,6095,521
40481,25849,32027,22850,44248,522
23413,6353,25849,12011,12362,526
20608,6880,6353,33814,30232,529
6095,22850,6880,22858,16231,533
44248,12011,22850,9801,32027,556
12362,33814,12011,43144,25849,558
16231,22858,33814,4367,6353,565
30232,9801,22858,15703,6880,568
32027,43144,9801,1209,22850,574
25849,4367,4367,25924,12011,575
6353,15703,43144,18709,33814,578
6880,1209,33981,26789,22858,593
22850,25924,15703,10376,9801,596
12011,18709,1209,8870,33981,598
33814,10376,25924,22766,43144,601
38525,8870,18709,27730,4367,608
22858,22766,10376,9422,36444,611
9801,27730,8870,6367,15703,613
43144,9422,22766,16012,1209,614
4367,6367,27730,32728,25924,616
15703,16012,9422,35329,18709,618
1209,32728,6367,30,10376,619
39508,35329,16012,25601,8870,620
25924,30,32728,18078,22766,621
18709,25601,35329,29441,27730,622
10376,18078,30,39611,9422,623
8870,29441,25601,30948,6367,624
22766,36366,18078,23349,16012,625
27730,39611,29441,27997,32728,628
9422,30948,36366,28852,35329,629
6367,23349,39611,29546,30,631
40236,27997,30948,27766,25601,640
16012,28852,23349,25082,18078,642
40306,29546,27997,6053,29441,644
32728,25082,28852,18980,36366,646
35329,6053,23084,28037,39611,651
30,18980,29546,17934,30948,653
25601,37695,25082,37695,23349,656
18078,17934,6053,32338,27997,657
29441,28037,18980,18745,28852,658
36366,18745,28037,15676,23084,659
39611,15676,17934,11823,29546,666
30948,11823,37695,23470,27766,669
23349,23470,18745,23021,25082,671
27997,23021,15676,42373,6053,674
28852,42373,11823,17932,18980,675
23084,17932,23470,33256,28037,679
29546,33256,23021,7457,17934,682
27766,23908,42373,23908,37695,683
25082,7457,17932,13597,32338,684
6053,13597,33256,24737,18745,685
18980,24737,7457,2412,15676,687
37695,2412,23908,42748,11823,688
17934,42748,13597,40437,23470,696
28037,40437,24737,12454,23021,698
32338,37417,2412,3102,42373,699
18745,12454,42748,29232,17932,700
15676,3102,40437,31095,33256,702
11823,31095,37417,38913,7457,705
23470,29232,12454,14058,23908,706
23021,38913,3102,43890,13597,714
42373,14058,29232,16039,24737,715
17932,43890,31095,33872,2412,721
33256,33819,38913,25518,42748,725
23908,16039,14058,17689,40437,729
7457,33872,43890,21586,12454,730
13597,25518,16039,24642,3102,733
41569,17689,33872,40903,29232,734
39695,21586,25518,23351,31095,737
24737,24642,17689,20358,38913,739
2412,40903,21586,21302,14058,743
42748,23351,24642,23497,43890,744
40437,20358,40903,30250,33819,745
37417,21302,23351,15024,16039,746
12454,36833,20358,28499,33872,748
3102,23497,21302,17629,25518,756
31095,30250,36833,43541,17689,757
29232,15024,23497,17540,28290,760
38913,28499,30250,17587,21586,761
14058,17629,15024,3803,24642,764
43890,43541,28499,33183,40903,765
33819,17540,17629,27903,23351,766
16039,17587,43541,2569,20358,769
33872,3803,17540,13364,21302,780
25518,27903,17587,18427,36833,781
17689,2569,3803,14537,23497,786
21586,13364,27903,8232,30250,788
24642,18427,2569,5118,15024,790
40903,14537,13364,6612,28499,791
23351,8232,18427,5988,17629,793
20358,26512,14537,40419,43541,794
21302,5118,8232,36683,17540,795
23497,6612,5118,38502,17587,796
30250,5988,6612,35301,3803,799
15024,40419,5988,8554,33183,800
28499,36683,40419,7047,27903,802
17629,38502,36683,33099,2569,803
43541,35301,38502,40284,13364,807
17540,8554,35301,2884,18427,810
17587,7047,8554,32236,14537,814
3803,33099,7047,16771,8232,816
27903,40284,33099,20083,5118,820
2569,2884,40284,17162,6612,823
13364,32236,2884,17097,5988,826
18427,16771,32236,9049,40419,827
14537,20083,16771,35080,36683,828
8232,17162,20083,20479,38502,829
5118,17097,17162,12583,35301,832
6612,9049,17097,7585,8554,833
5988,35080,9049,8854,7047,834
40419,20479,35080,7067,33099,835
36683,12583,20479,31626,40284,836
38502,7585,12583,35304,2884,837
35301,8854,7585,7435,32236,838
8554,7067,8854,27443,16771,840
7047,31626,7067,37361,20083,845
33099,35304,31626,23025,17162,848
40284,7435,35304,21213,17097,849
2884,27443,7435,41086,9049,852
32236,37361,27443,43758,35080,853
16771,23025,37361,37640,20479,854
20083,21213,23025,372,12583,856
17162,10931,21213,6270,7585,857
17097,41086,41086,13266,8854,861
9049,37640,43758,22199,7067,864
35080,6270,13266,3303,44535,865
20479,372,10931,15314,31626,866
39837,22199,372,5790,35304,871
12583,13266,37640,34233,7435,872
7585,43758,6270,22769,27443,874
8854,3303,22199,17830,37361,880
7067,15314,3303,22042,23025,883
31626,5790,15314,18219,21213,888
35304,34233,5790,31674,41086,889
7435,36792,34233,37215,43758,891
27443,22769,22769,31484,37640,892
37361,17830,17830,4694,372,893
23025,22042,22042,38301,6270,896
21213,18219,18219,20933,13266,897
41086,23732,23732,15883,22199,898
37640,24691,24691,24720,3303,900
6270,31674,31674,27648,15314,903
372,31484,37215,15559,5790,904
22199,4694,31484,14374,34233,907
13266,38301,4694,4439,22769,909
43758,20933,38301,23806,17830,913
3303,15883,20933,2205,22042,916
15314,27648,15883,18661,18219,917
5790,24720,24720,27327,23732,921
34233,15559,15559,10373,24691,923
36792,14374,14374,37547,31674,924
22769,4439,4439,26119,37215,929
17830,23806,23806,3390,31484,930
22042,2205,2205,35210,4694,933
