Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
42617,42617,17157,42617,42617,17157
26575,17157,43803,43803,26575,43803
43803,43803,292,292,17157,292
25815,292,25815,43789,43803,23116
292,43789,43789,2003,292,43789
23116,11021,11021,43834,43789,11021
43789,2003,2003,40572,23116,2003
11021,43834,30786,23921,11021,43834
2003,14633,43834,11228,2003,40572
14633,40572,40572,8798,40572,11228
43834,11228,38140,17280,43834,8798
23921,8798,11228,4927,16681,17280
40572,17280,8798,27226,38140,23152
11228,10389,10389,40234,11228,4927
10389,23152,23152,2346,8798,27226
23152,4927,4927,31133,17280,12135
4927,27226,27226,23947,10389,2346
27226,40234,35821,8281,23152,31133
40234,2346,40234,4576,4927,23947
35821,19293,12135,4380,27226,13153
2346,8281,2346,13246,40234,8281
31133,4576,31133,7444,12135,32157
19293,4380,19293,7967,2346,19239
17042,15119,29483,7547,23947,3315
23947,13246,8281,41818,19293,18772
8281,14774,4576,41914,29483,42893
4576,32072,4380,3315,13153,18963
4380,19239,15119,42893,8281,20725
15119,30004,13147,20642,4576,20642
13246,41818,13246,44332,15119,44332
23578,3315,23578,8388,13147,8388
14774,18772,7967,1017,13246,1017
32072,42893,14774,4179,23578,4179
7547,20642,32072,8947,7967,5553
30004,44332,7547,5553,14774,42177
41818,8388,30004,42177,30004,42242
3315,1017,41818,4488,7547,22895
42893,4179,3315,9479,19239,27204
18963,8947,18772,42242,41818,42002
20642,5553,42893,22895,41914,32216
44332,42177,19519,27204,39519,6063
26003,42242,20725,42002,3315,40375
4179,22895,44332,6063,18772,41669
8947,42002,1017,40375,42893,43043
5553,6063,8388,40744,18963,4964
42177,12360,4179,41669,19519,3957
42242,40375,26003,6607,38416,18879
32436,40744,8947,18777,20642,27571
35743,41669,5553,43043,44332,23387
22895,6607,42177,24108,1017,23124
27204,43043,9479,4964,8388,2342
42002,24108,42242,3957,4179,26376
40744,4964,22895,27571,26003,4680
6063,3957,27204,16058,8947,44038
40375,12182,42002,23124,4488,18616
6607,27571,6063,23387,5553,32602
41669,23124,40375,4680,42177,32624
19949,23387,40744,44038,9479,40755
18777,26376,19949,23280,42242,29065
12182,4680,41669,5260,39606,1167
24108,30451,6607,18616,32436,17202
43043,23280,18777,17989,22895,16742
4964,44038,43043,11723,27204,32607
3957,17989,4964,29186,42002,42000
36083,32624,3957,40755,4964,6211
27571,11723,16058,1167,6063,5298
23387,29065,27571,6131,12360,43402
2342,40755,23387,16742,40375,20442
26376,6131,2342,25771,40744,12226
4680,17202,11122,42000,41669,24754
30451,42000,26376,3172,6607,978
23280,3172,4680,6211,25504,15299
44038,6211,30451,5298,18777,40189
18616,5298,38558,43402,24108,44515
32602,43402,44038,20442,16058,816
17989,20442,18616,12431,43043,18649
11723,12226,17989,12279,36083,33060
28105,12279,32624,22024,3957,3096
40755,19996,11723,978,18879,8488
29065,23153,28105,15299,27571,31707
1167,25908,40755,6605,23124,22308
6131,978,32028,40189,23387,14161
16742,31305,6131,44515,2342,11874
25771,816,25771,816,26376,1771
32607,6605,3172,3096,4680,42394
42000,40189,6211,8488,23280,22509
