Q_Exactive,Impact_MS,maXis,Our_samples
3,114,114,3
5,224,116,5
8,312,127,25
20,387,196,193
25,388,383,464
26,394,490,555
97,400,491,567
104,401,493,590
111,403,503,636
113,404,521,641
120,421,608,657
123,422,665,794
126,431,695,899
132,439,778,930
133,478,897,936
138,493,933,945
139,606,1031,1059
140,644,1042,1108
146,658,1059,1123
149,669,1060,1141
150,695,1131,1286
159,704,1283,1305
162,730,1286,1309
169,742,1294,1373
170,756,1362,1419
174,760,1366,1424
178,768,1411,1426
181,775,1414,1431
182,848,1536,1453
183,849,1585,1487
185,946,1586,1488
186,951,1601,1534
187,978,1622,1535
188,982,1650,1536
190,983,1671,1545
216,1021,1701,1585
218,1083,1737,1596
222,1119,1738,1598
223,1166,1757,1628
225,1168,1766,1650
229,1174,1815,1651
230,1178,2206,1679
231,1182,2207,1695
239,1233,2231,1699
240,1271,2451,1701
241,1272,2456,1708
246,1273,2519,1732
250,1309,2520,1746
251,1344,2522,1756
255,1405,2538,1782
257,1408,2547,1785
259,1414,2701,1797
261,1429,2748,1940
262,1491,2788,2029
268,1509,2791,2115
271,1511,2914,2122
274,1521,2967,2201
278,1575,3245,2271
287,1576,3301,2297
289,1601,3312,2439
293,1616,3314,2456
294,1632,3402,2458
296,1654,3411,2471
297,1666,3413,2499
300,1701,3417,2502
302,1729,3454,2519
303,1730,3455,2520
305,1737,3482,2522
306,1740,3523,2525
310,1748,3544,2583
315,1762,3662,2584
317,1806,3671,2606
318,1820,3681,2630
320,1839,3687,2635
329,1843,3728,2636
338,1849,3790,2664
339,1877,3840,2666
343,1884,4138,2669
348,1998,4423,2692
349,2014,4437,2701
350,2015,4455,2722
361,2016,4505,2780
362,2020,4612,2791
365,2039,4624,2792
367,2187,4625,2800
371,2231,4636,2801
373,2282,4691,2831
374,2283,4715,2914
378,2311,4831,2989
381,2314,4851,2991
385,2321,4874,3010
388,2322,4928,3015
391,2388,5079,3215
392,2391,5099,3239
398,2398,5107,3245
400,2439,5112,3256
408,2456,5130,3269
410,2457,5191,3297
412,2492,5195,3300
413,2722,5248,3301
416,2758,5255,3306
420,2761,5264,3327
424,2813,5447,3328
429,2829,5500,3344
431,2912,5516,3347
433,2914,5517,3353
440,2936,5522,3400
442,2950,5589,3401
445,3002,5677,3413
449,3008,5688,3417
451,3200,5695,3438
